domain,name,key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,sources,first_seen
guidewire.com,Guidewire Software,accept,United States,San Mateo,3184,1202459000,807918000,2001,Property insurance,"Guidewire is the platform P&C insurers trust to engage, innovate, and grow efficiently. More than 570 insurers in 43 countries, from new ventures to the largest and most complex in the world, rely on Guidewire products. With core systems leveraging data and analytics, digital, and artificial intelli",Guidewire is a 3184‑employee SaaS insurance platform in the US running production EKS clusters for direct insurer customers.,eval_angles-4;eval_combined,2026-09-04T17:21:54.525496+05:30
home.saxo,Saxo Bank,accept,Denmark,Copenhagen,1403,,345519802,1992,Digital banking,"At Saxo we believe that when you invest, you unlock a new curiosity for the world around you.   Discovering an intuitive desire within to actively learn, explore, and ask questions, you will engage with new companies, new communities, maybe even new countries. You could call this an appetite or pass","Digital bank in Denmark, 1403 staff, built Kubernetes service blueprint with cert-manager in-house, evidencing scale and internal PKI tooling.",eval_combined2;eval_judge-next-slice;eval_judge-x4;eval_proof-form3,2026-09-04T18:27:29.564927+05:30
ifs.com,IFS,accept,Sweden,Linköping,5206,,,1983,Enterprise software,"IFS is the world’s leading provider of Industrial AI software for hardcore businesses that service, power and protect our planet. Our technology enables businesses which manufacture goods, maintain complex assets, and manage service-focused operations to unlock the transformative power of Industrial","Nordics ERP/SaaS vendor, headcount fits; SaaS K8s evidence proven; customer‑ownership unclear, cert lifecycle unproven.",eval_combined2,2026-09-04T18:20:14.453253+05:30
kraken.tech,Kraken,accept,United Kingdom,London,1616,,1000000000,2017,Utility technology,"Improve customer satisfaction, increase product innovation, generate new revenue streams, and make significant operational savings. All with the only proven end-to-end, AI-powered operating system for energy utilities. Now expanded to support water, and telco.","Kraken is an energy‑tech platform sized 1616 in UK, K8s use proven; customer‑ownership and PKI unproven.",eval_lean,2026-09-04T18:49:41.522112+05:30
lastminute.com,lastminute.com,accept,Switzerland,Chiasso,1158,350007286,,2004,Travel technology,"lastminute.com is the European leader in Dynamic Holiday Packages. Our mission is to design, deliver and take responsibility for curated, integrated travel experiences so people can travel with confidence. Thanks to the iconic brand lastminute.com and a rich portfolio of vertical brands, we meet the","Swiss travel operator, 1158 employees, runs EKS microservices with Karpenter in-house; no PKI mention.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
liveramp.com,LiveRamp,accept,United States,San Francisco,1158,812940000,16000000,2011,Advertising technology,"LiveRamp is the data collaboration platform for the world’s most innovative companies. A leader in consumer privacy, data ethics, and foundational identity, LiveRamp sets the new standard for building a connected customer view with unmatched clarity and context while protecting brand and consumer tr","LiveRamp is a US data platform, 1158 employees, blog shows in-house GKE multi-tenant production Kubernetes operations.",eval_combined;eval_proof-form3,2026-09-04T18:05:03.270907+05:30
lucidmotors.com,Lucid Motors,accept,United States,Newark,5449,1353790000,23676999992,2016,Automotive manufacturing,"We launched Lucid in 2016 to build the world’s best cars and accelerate the shift to clean energy. Our vehicles deliver best-in-class performance *and* efficiency. Equally important, we’re building a world-class team: From our state-of-the-art factory in Arizona to our global headquarters in Califor","Lucid Motors is an automotive manufacturer, 5449 staff in US, runs Kubernetes-native connected-vehicle cloud infrastructure.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
monzo.com,Monzo,accept,United Kingdom,London,4937,,,2015,,"Hi, we're Monzo. We're a bank that lives on your phone.","London bank, 4937 staff, direct consumer relationship; explicit production Kubernetes via KubeCon talk; no certificate-management evidence.",eval_angles-4;eval_judge-next-slice;eval_judge-x4;eval_proof-form3,2026-09-04T17:25:35.611154+05:30
newrelic.com,New Relic,accept,United States,San Francisco,2138,925626000,6829500000,2008,Observability software,"New Relic arms businesses with the trust and confidence required to thrive in the AI era. The New Relic Intelligent Observability Platform is the only open, AI-strengthened platform designed to unify telemetry and business outcomes, bringing intelligence and automated actions to the most complex dig","SaaS observability firm, US, mid-size headcount, runs own Kubernetes clusters at scale per KubeCon talk.",eval_combined,2026-09-04T18:02:08.266697+05:30
okta.com,Okta,accept,United States,San Francisco,5328,2919000000,1416250000,2009,,"Okta secures AI.  Okta is The World’s Identity Company. Freeing everyone to safely use any technology—anywhere, on any device or app.","Okta is a SaaS identity provider running its own Kubernetes-based, cell-architected infrastructure for its own customers; size/region fit.",eval_angles-4;eval_baseline;eval_reprove-missing,2026-09-04T17:25:35.611154+05:30
pandadoc.com,PandaDoc,accept,United States,San Francisco,664,47900000,66929600,2014,,"Stand out with the top‑rated solution for creating, managing, tracking, and esigning every important document you handle.","Document SaaS, 664 employees, career page confirms in-house Kubernetes/Docker stack serving 67,000 organizations directly.",eval_lean,2026-09-04T18:44:59.372294+05:30
payfit.com,PayFit,accept,France,,634,150000000,495751514,2015,,"PayFit makes payroll and HR management simple for small businesses.  We’re an automated SaaS that helps HR teams and business owners save time and money on their payroll and HR tasks. That way, they can focus on what really matters: their employees.   Since 2016, we’ve made it our mission to support","French SaaS payroll firm, 634 staff, security page shows Kubernetes and in-house managed network/access controls.",eval_lean,2026-09-04T18:44:59.372294+05:30
pci.com,PCI Pharma Services,reject:no-such-event,United States,Philadelphia,2802,768000000,,,,"We are PCI Pharma Services. CDMO.  Today’s Drug Development & Manufacturing, Advanced Drug Delivery & Drug Device Combination Products, Clinical Trial Services, and Commercial Packaging Technology. Inspired by tomorrow.  We provide world-class solutions through intelligence, ingenuity and innovation","PCI Pharma runs customer-facing pci|bridge on AWS EKS with 2,100 users, showing in-house Kubernetes-run platform; no PKI evidence.",eval_reprove-missing,2026-09-04T16:23:25.443483+05:30
peacocktv.com,Peacock,accept,United States,New York,1346,,,2020,Media entertainment,"New York City-based media and entertainment company operating a subscription video-on-demand streaming service with movies, television, live events, news, and sports.","US streaming media firm, 1346 employees, migrated global streaming to production EKS at scale; no PKI evidence.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
postfinance.ch,PostFinance,accept,Switzerland,Bern,2152,243631960,,,Financial services,"PostFinance Ltd is one of Switzerland’s leading retail financial institutions. We are a diversified, innovation-driven financial service provider. At PostFinance, you’ll work on current and future ways of managing Switzerland’s money, helping to drive the digitization of the Swiss financial sector f","Swiss retail bank, 2152 staff; talk describes migrating 35 clusters with custom in-house PKI, showing in-house K8s and cert operations.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
postman.com,Postman,accept,United States,San Francisco,984,500000000,434000000,2014,API development software,"Postman is the world’s leading API platform. Postman's features simplify each step of building an API and streamline collaboration to help create better APIs—faster. More than 40 million developers and 500,000 organizations across the globe use Postman today.  Our customers are doing more and more a","API SaaS platform, US, right-size headcount, migrated own workloads to Kubernetes per engineering blog.",eval_combined,2026-09-04T18:02:08.266697+05:30
rapyd.net,Rapyd,accept,United Kingdom,London,673,,1270000000,2015,Financial services,"Build Bold.  Liberate global commerce with all the tools your business needs to create payment, payout and fintech experiences everywhere.  Around the world, customers want to pay in a thousand different ways. Businesses and consumers want to get paid faster. And developers want to build new product","Fintech-as-a-service platform, London, 673 staff, 15+ Kubernetes clusters central to its own infrastructure.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
rbccm.com,RBC Capital Markets,accept,Canada,Toronto,8441,6717783800,,1988,Investment banking,"RBC Capital Markets is recognized by the most significant corporations, institutional investors, asset managers, private equity firms, and governments around the globe as an innovative, trusted partner with an in-depth expertise in capital markets, banking, and finance. We are well-established in th","Investment bank, 8441 employees Toronto; CNCF blog details 50+ clusters and in-house SPIRE replacing per-service certs.",eval_judge-next-slice;eval_proof-form3,2026-09-04T17:43:46.470606+05:30
roku.com,Roku,accept,United States,San Jose,4494,,,2002,Streaming media,"Streaming television platform and media company operating Roku devices, Roku OS, and The Roku Channel.","Streaming media firm, 4494 staff, US; case study confirms 110+ in-house Kubernetes clusters; no cert-management evidence.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
sectigo.com,Sectigo,reject:excluded-type,United States,Scottsdale,508,40499999,7484400,,,"Expired certificates shouldn’t be the reason your business goes down. Sectigo is the industry’s most trusted CA-agnostic Certificate Lifecycle Management platform automating discovery, policy, renewal, and governance across public and private PKI to secure human and machine identities with Simplicit","Sectigo, ~508 staff, runs its own Kubernetes CT-log infra in-house; vertical fit and internal PKI governance not shown.",eval_baseline,2026-09-04T16:05:05.129506+05:30
sennder.com,sennder,,Germany,Berlin,827,350000000,403490000,2015,Freight marketplace,"sennder – Europe’s #1 digital freight-forwarder for Full Truck Loads.  sennder, a leading digital road freight forwarder in Europe, is offering shippers access to a connected fleet of thousands of trucks. In a traditional industry, we are moving fast and focus on the digitalization and automation of","sennder is a freight-forwarding marketplace, 827 staff in Berlin, runs its own EKS clusters; vertical not clearly listed.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
skyscanner.net,Skyscanner,accept,United Kingdom,Edinburgh,1313,,197207791,2003,Travel technology,"🌎 We're here to help every traveller explore the world effortlessly, with a vision to become the world's number one travel ally. ","UK travel-tech firm, 1313 staff; KubeCon talk shows in-house Istio mesh at scale; no PKI delegation evidence.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
softwareag.com,Software AG,,Germany,Darmstadt,1614,,,1969,Enterprise software,"Software AG has been helping enterprises run and evolve their core business applications for over 50 years. With a focus on modernization, integration, and long-term value, Software AG enables organizations to stay secure, efficient, and future-ready. Trusted by businesses worldwide, we empower cust","EU enterprise software firm, headcount fits; vertical and customer‑ownership unclear; K8s forum post shown.",eval_combined2,2026-09-04T18:20:14.453253+05:30
stripe.com,Stripe,reject:unreachable,United States,South San Francisco,10338,14000000000,11301372725,2010,,"Stripe builds programmable financial services. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Headquartered in San Francisco and Dublin, the company aims to increa","Stripe's blog shows fintech vertical, headcount, in-house team running Kubernetes and managing its own certificate issuance in-house.",eval_reprove-missing,2026-09-04T16:29:59.372541+05:30
tennet.eu,TenneT,accept,Netherlands,Arnhem,849,10817118180,,1998,Electricity utilities,"TenneT is a leading European grid operator. We are committed to providing a secure and reliable supply of electricity 24 hours a day, 365 days a year, while helping to drive the energy transition in our pursuit of a brighter energy future – more sustainable, reliable and affordable than ever before.","European grid operator, Arnhem, 849 staff, in-house PaaS with Kubernetes/Kafka powering grid security tooling.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
traderepublic.com,Trade Republic,accept,Germany,Berlin,729,25000000,,2015,,What does your Bank offer? ,"Berlin fintech bank, 729 staff, engineering blog shows Kubernetes CronJobs and distributed processing; no cert-lifecycle evidence found.",eval_baseline,2026-09-04T16:01:49.671831+05:30
tubitv.com,Tubi,accept,United States,San Francisco,678,680000000,,2014,Media streaming,"Tubi is the most watched free TV and movie streaming service in the U.S., dedicated to providing all people access to all the world's stories. As a leading ad-supported video-on-demand service, the company engages diverse audiences through a personalized experience and the world’s largest content li","Streaming service, 678 employees SF; engineering blog confirms Kubernetes scaling but no cert-management evidence.",eval_judge-next-slice;eval_judge-x4;eval_proof-form3,2026-09-04T17:43:46.470606+05:30
vestiairecollective.com,Vestiaire Collective,accept,France,Paris,506,,742285995,2009,Fashion marketplace,"We are the leading global platform for pre-loved luxury fashion.   Our mission is to transform the fashion industry for a more sustainable future by empowering our community to shop more consciously.  Guided by our philosophy “Think First, Buy Second,” we offer a trusted space for our members to ext","Luxury resale marketplace, Paris, 506 staff, runs its own services on Vestiaire's Kubernetes clusters.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
whatnot.com,Whatnot,accept,United States,Los Angeles,1242,6500000,974700000,2019,Online marketplace,"Whatnot is the largest livestream shopping platform in the US, UK, and Europe. Millions of people come to Whatnot every day to buy, sell, and connect over the things they love, from sneakers to sports cards, vintage fashion to fine jewelry, comics to Pokémon, beauty, electronics, and hundreds of oth","US marketplace, headcount fits; owns customer transactions, runs own K8s at scale; cert‑lifecycle unproven.",eval_combined2,2026-09-04T18:20:14.453253+05:30
whoop.com,WHOOP,accept,United States,Boston,974,90700000,979751000,2012,Health and wellness technology,"Solving problems that sit at a unique intersection of hardware, tech, health, fitness and design. ","WHOOP is a wellness wearable/app company, 974 staff in Boston, runs its own Kubernetes infra for members.",eval_proof-form3,2026-09-05T09:09:38.145991+05:30
zalando.com,Zalando,reject:unreachable,Germany,Berlin,6856,12300000000,,2008,Online fashion retail,"Welcome to Zalando. Here’s some key info about us:  Our position and vision: - We’re Europe’s leading online platform for fashion and lifestyle. - Founded in Berlin in 2008, we bring head-to-toe fashion to more than 50 million active customers in 25 markets; offering clothes, footwear, accessories, ","Berlin fashion e-commerce, 6856 staff, engineering blog shows in-house team owning Kubernetes routing at scale; no cert data given.",eval_combined2,2026-09-04T18:27:29.564927+05:30
zapier.com,Zapier,accept,United States,San Francisco,764,200000000,1487949,2011,,"Get your software working together, automatically.",Zapier's own blog shows in-house Kubernetes/Kafka production ops serving its customers; no cert-management evidence.,eval_lean,2026-09-04T18:49:41.522112+05:30
zooplus.com,zooplus,accept,Germany,Munich,1076,2700000000,3500000000,1999,Online pet retail,"We are zooplus. With over 25 years of exclusive focus on online retail in pet supplies, we are a trailblazer in the industry. Every day, we go the extra mile to meet the unique needs of pets, delivering exceptional value to our customers with an ever-expanding range of nutritional and lifestyle prod","Munich pet retailer, 1076 staff, monitors 40 Kubernetes clusters across thousands of microservices; no certificate-management evidence provided.",eval_combined2,2026-09-04T18:27:29.564927+05:30
zynga.com,Zynga,accept,United States,San Francisco,1765,2800500000,3318550786,2007,Computer games,"Zynga was founded in 2007 with the vision that play would become one of the core activities on the Internet. We pioneered social games with the belief that if we could make games simple, accessible and social the world would start playing. We are excited that games have grown to become the second mo","Gaming company, 1765 staff in US, CNCF case study shows in-house Kubernetes team; no PKI evidence.",eval_judge-x4,2026-09-04T17:03:00.940996+05:30
